Station Name,Venue Name,Distance,Primary Category
Puchsbaumgasse,Laa Restaurant und Bar,493,Dining and Drinking
Enkplatz U3,Aida Café-Konditorei,31,Café
Enkplatz U3,Cafe Biedermeier,58,Café
Enkplatz U3,Pizzeria Piccolina,115,Pizzeria
Enkplatz U3,Kebab BRO'S,124,Pizzeria
Enkplatz U3,EFE Restaurant,178,Turkish Restaurant
Enkplatz U3,Utopia,179,Café
Enkplatz U3,Mantici,184,Turkish Restaurant
Enkplatz U3,Kang Noodles,187,Noodle Restaurant
Enkplatz U3,Cafe Salzer,208,Café
Enkplatz U3,Lily's Nudelhaus,209,Asian Restaurant
Gasometer U3,Felber,23,Bakery
Gasometer U3,Noodles,36,Noodle Restaurant
Gasometer U3,Anker,36,Bakery
Gasometer U3,McDonald's,37,Burger Joint
Gasometer U3,Noodle House,53,Chinese Restaurant
Gasometer U3,Natürlich Essbar,56,Asian Restaurant
Gasometer U3,Mc Café,77,Café
Gasometer U3,El Greco,89,Greek Restaurant
Gasometer U3,Restaurant Cenaro,109,Italian Restaurant
Gasometer U3,Marco Simonis - Urban Appetite,134,Deli
Geiselbergstraße S,Simmeringer Biergarterl,13,Gastropub
Geiselbergstraße S,Servus Grüß Dich,195,Dining and Drinking
Geiselbergstraße S,Anker,223,Dining and Drinking
Geiselbergstraße S,Restaurant ß-Lounge,274,Diner
Geiselbergstraße S,Gasthaus Markovic,290,Hostel
Geiselbergstraße S,Cafe Salzer,328,Café
Geiselbergstraße S,EB-Restaurantsbetriebe,357,Molecular Gastronomy Restaurant
Geiselbergstraße S,Siemens Werksküche,381,Dining and Drinking
Geiselbergstraße S,Lily's Nudelhaus,497,Asian Restaurant
Simmering S U,Würstlstand Endstation,54,Hot Dog Joint
Simmering S U,Ströck,55,Bakery
Simmering S U,Imbiss Endstation,70,Bratwurst Joint
Simmering S U,Domino's Pizza,119,Pizzeria
Simmering S U,Döner Kebab zersoy,178,Burger Joint
Simmering S U,Shanghai City,203,Chinese Restaurant
Simmering S U,Noodles & More,230,Asian Restaurant
