Station Name,Venue Name,Distance,Ratings,Review Count,Primary Category
Hauptbahnhof S U ,L'Osteria,104.66825693421988,3.5,19,Pizza
Hauptbahnhof S U ,Lima56,381.0981262289262,4.0,24,Peruvian
Hauptbahnhof S U ,Der Ringsmuth,250.3190511669915,4.0,23,Austrian
Hauptbahnhof S U ,Cafe Goldegg,376.7765403575579,4.5,34,Cafes
Hauptbahnhof S U ,ÖBB Club Lounge Wien HBF,71.89054307248125,4.0,5,Lounges
Hauptbahnhof S U ,Cohen's Smartfood,95.1961340296766,4.0,14,Middle Eastern
Hauptbahnhof S U ,Leberkas-Pepi,83.01816402400613,4.0,5,Austrian
Hauptbahnhof S U ,McDonald's,83.46861230274156,3.5,4,Fast Food
Hauptbahnhof S U ,Heberer,79.21020405137833,4.0,5,Bakeries
Hauptbahnhof S U ,Lokal-Café-Bar Pergola,378.03953085809917,4.5,6,Austrian
Hauptbahnhof S U ,Würstel Boutique,133.4694642187142,5.0,1,Food Stands
Hauptbahnhof S U ,Böhmerwald,163.96609098613285,4.0,6,Austrian
Hauptbahnhof S U ,Akakiko,366.267983211357,4.5,6,Japanese
Hauptbahnhof S U ,Burger King,76.8493604978507,4.0,1,Burgers
Hauptbahnhof S U ,Chutney,171.0169717289749,3.5,10,Indian
Hauptbahnhof S U ,Nordsee,42.54372028861969,2.5,2,Seafood
Hauptbahnhof S U ,Würstelstand Südtirolerplatz,198.23209218527296,5.0,4,Hot Dogs
Keplerplatz U1,Columbus Bräu,356.2292562745865,4.0,38,Austrian
Keplerplatz U1,Sichuan,243.31638277867333,4.5,26,Chinese
Keplerplatz U1,Anker,91.4847500205355,5.0,1,Bakeries
Keplerplatz U1,Lokal-Café-Bar Pergola,458.5265583624403,4.5,6,Austrian
Keplerplatz U1,Sakura,172.71020257188192,4.0,5,Asian Fusion
Keplerplatz U1,Kent Favorit,185.94602039898302,4.5,4,Turkish
Keplerplatz U1,Akakiko,447.10276979323316,4.5,6,Japanese
Keplerplatz U1,Pizzeria Ristorante Bernado,237.04677411573346,4.0,8,Pizza
Keplerplatz U1,Gavaz Eissalon,139.36290496371245,5.0,4,Ice Cream & Frozen Yogurt
Keplerplatz U1,Würstelstand Keplerplatz,116.08418851536204,4.5,2,Bakeries
Keplerplatz U1,URBAN's,523.0284019094768,4.0,8,International
Keplerplatz U1,Dana's Imbiss,132.7530192981715,4.0,1,Fast Food
Keplerplatz U1,Chefs Bistro,178.74686437960028,5.0,1,Italian
Keplerplatz U1,Türkis Palast,366.9804389535425,3.5,11,Turkish
Keplerplatz U1,Sezai Fisch T raum,304.2595644472978,4.5,3,Seafood
Keplerplatz U1,Bierochs-Bierkeller,162.7206406291044,4.5,2,Pubs
Keplerplatz U1,Caffehaus,230.71392507806777,4.0,2,Cafes
Keplerplatz U1,E&F Schnitzel Station,108.86667596178995,4.0,1,Schnitzel
Keplerplatz U1,Zeljo Burek,397.6678249898525,4.5,6,Serbo Croatian
Keplerplatz U1,Konya Etli Ekmek,480.9427989195949,4.5,4,Turkish
