Station Name,Slots,Latitude,Longitude,Venue Name,Distance,Ratings,Review Count,Source,Primary Category
Taborstraße U2,23,48.219522,16.382218,Tachles,482.7815294785435,4.0,27,Yelp,Bars
Taborstraße U2,23,48.219522,16.382218,Bricks,108.39468726097664,3.5,14,Yelp,Bars
Taborstraße U2,23,48.219522,16.382218,La Massa,315.3995400682675,4.5,7,Yelp,Pizza
Taborstraße U2,23,48.219522,16.382218,Schuppich,250.39232370983973,4.5,9,Yelp,Italian
Taborstraße U2,23,48.219522,16.382218,Fischrestaurant Kaj,453.0257293778538,4.5,12,Yelp,Seafood
Taborstraße U2,23,48.219522,16.382218,Lhotzkys Literaturbuffet,199.33142324501875,5.0,8,Yelp,Bookstores
Taborstraße U2,23,48.219522,16.382218,el Hans,364.2668604449244,4.5,11,Yelp,Spanish
Taborstraße U2,23,48.219522,16.382218,Skopik & Lohn,414.6081048738823,4.0,41,Yelp,Austrian
Taborstraße U2,23,48.219522,16.382218,Weinschenke,432.43420250107687,4.5,8,Yelp,Burgers
Taborstraße U2,23,48.219522,16.382218,Tewa am Karmelitermarkt,447.038487432933,4.0,18,Yelp,International
Taborstraße U2,23,48.219522,16.382218,Bahur Tov,352.01589970736273,5.0,6,Yelp,Kosher
Taborstraße U2,23,48.219522,16.382218,Cafe U2,10.0,,,FourSquare,Café
Taborstraße U2,23,48.219522,16.382218,Minem Bäckerei,71.0,,,FourSquare,Bakery
Taborstraße U2,23,48.219522,16.382218,Asia Restaurant Wok Haus,76.0,,,FourSquare,Asian Restaurant
Taborstraße U2,23,48.219522,16.382218,Briuni,79.0,,,FourSquare,Italian Restaurant
Taborstraße U2,23,48.219522,16.382218,Danny's Baguette Bistro,88.0,,,FourSquare,Snack Place
Taborstraße U2,23,48.219522,16.382218,Prego Bäckerei,88.0,,,FourSquare,Bakery
Taborstraße U2,23,48.219522,16.382218,AINHORN BERNAT - Koscher Fleisch,93.0,,,FourSquare,Dining and Drinking
Taborstraße U2,23,48.219522,16.382218,Pancho,96.0,,,FourSquare,Cocktail Bar
Taborstraße U2,23,48.219522,16.382218,McDonald's,106.0,,,FourSquare,Burger Joint
Taborstraße U2,23,48.219522,16.382218,Bäckerei Ücler,111.0,,,FourSquare,Bakery
Erdberg U3,36,48.190465,16.415318,Marx,176.40893599685575,4.0,8,Yelp,Lounges
Erdberg U3,36,48.190465,16.415318,Raimund Korner,35.1827711047114,5.0,4,Yelp,Landmarks & Historical Buildings
